List of Figures

Figure 3-1	The Layers of GEOS	 CArch : 65
Figure 24-2	Line	 CShapes : 861

Figure 24-3	Rectangle	 CShapes : 862

Figure 24-4	Ellipse	 CShapes : 863

Figure 24-5	Elliptical Arc	 CShapes : 863

Figure 24-6	Three-point Arcs	 CShapes : 864

Figure 24-7	Advantages of the Three-point Arc	 CShapes : 865

Figure 24-8	Rounded Rectangle	 CShapes : 865

Figure 24-9	Polylines, Polygons, and Fill Rules	 CShapes : 866

Figure 24-10	Splines and Bézier Curves	 CShapes : 868

Figure 24-11	Levels of Smoothness	 CShapes : 870

Figure 24-12	Bitmap	 CShapes : 871

Figure 24-13	GrDrawImage()	 CShapes : 872

Figure 24-14	Path Direction for Winding Fills	 CShapes : 872

Figure 24-15	Path Intersection and Union	 CShapes : 873

Figure 24-16	Sample Region	 CShapes : 875

Figure 24-17	Complicated Region Example	 CShapes : 877

Figure 24-18	TextMode and Drawing Position	 CShapes : 879

Figure 24-19	Common Font Metrics	 CShapes : 882

Figure 24-20	Character Metrics	 CShapes : 884

Figure 24-21	Dithering	 CShapes : 889

Figure 24-22	Custom Hatch Patterns	 CShapes : 893

Figure 24-23	Mix Modes	 CShapes : 896

Figure 24-24	Masks as Repeating Patterns	 CShapes : 898

Figure 24-25	Drawing with Masks	 CShapes : 899

Figure 24-26	LineStyles	 CShapes : 900

Figure A-1	Structure of a Word 	CHardw : 906

Figure A-2	Accessing a Byte in a Segment 	CHardw : 907

Figure A-3	The Four General Registers 	CHardw : 909

Figure D-1	Translating FP to decimal 	CMath : 965

Figure D-2	Diagram of an 80-bit Floating Point Number 	CMath : 966

Figure D-3	The Floating Point Stack 	CMath : 968
